Id,Name,Domain,Vocabulary,include,t1_patological,t2_patological
1634676,AJCC/UICC 7th T1a1 Category,Measurement,Cancer Modifier,y,,
1634521,AJCC/UICC 7th T1a2 Category,Measurement,Cancer Modifier,y,,
1634319,AJCC/UICC 7th T1b Category,Measurement,Cancer Modifier,y,,
1634668,AJCC/UICC 7th T1b1 Category,Measurement,Cancer Modifier,y,,
1635493,AJCC/UICC 7th T1b2 Category,Measurement,Cancer Modifier,y,,
1634255,AJCC/UICC 7th T1b3 Category,Measurement,Cancer Modifier,y,,
1635626,AJCC/UICC 7th T1c Category,Measurement,Cancer Modifier,y,,
1634753,AJCC/UICC 7th T1c1 Category,Measurement,Cancer Modifier,y,,
1635219,AJCC/UICC 7th T1c2 Category,Measurement,Cancer Modifier,y,,
1635328,AJCC/UICC 7th T1c3 Category,Measurement,Cancer Modifier,y,,
1633570,AJCC/UICC 7th T1d Category,Measurement,Cancer Modifier,y,,
1634186,AJCC/UICC 7th T1mi Category,Measurement,Cancer Modifier,y,,
1634506,AJCC/UICC 7th T2 Category,Measurement,Cancer Modifier,y,,
1635532,AJCC/UICC 7th T2a Category,Measurement,Cancer Modifier,y,,
1635827,AJCC/UICC 7th T2a1 Category,Measurement,Cancer Modifier,y,,
1634535,AJCC/UICC 7th T2a2 Category,Measurement,Cancer Modifier,y,,
1635301,AJCC/UICC 7th T2b Category,Measurement,Cancer Modifier,y,,
1635192,AJCC/UICC 7th T2c Category,Measurement,Cancer Modifier,y,,
1634572,AJCC/UICC 7th T2d Category,Measurement,Cancer Modifier,y,,
1633883,AJCC/UICC 8th clinical T1 Category,Measurement,Cancer Modifier,y,,
1635229,AJCC/UICC 8th clinical T1a Category,Measurement,Cancer Modifier,y,,
1634437,AJCC/UICC 8th clinical T1a1 Category,Measurement,Cancer Modifier,y,,
1634945,AJCC/UICC 8th clinical T1a2 Category,Measurement,Cancer Modifier,y,,
1633531,AJCC/UICC 8th clinical T1b Category,Measurement,Cancer Modifier,y,,
1635568,AJCC/UICC 8th clinical T1b1 Category,Measurement,Cancer Modifier,y,,
1633980,AJCC/UICC 8th clinical T1b2 Category,Measurement,Cancer Modifier,y,,
1635512,AJCC/UICC 8th clinical T1b3 Category,Measurement,Cancer Modifier,y,,
1635647,AJCC/UICC 8th clinical T1c Category,Measurement,Cancer Modifier,y,,
1633432,AJCC/UICC 8th clinical T1c1 Category,Measurement,Cancer Modifier,y,,
1634749,AJCC/UICC 8th clinical T1c2 Category,Measurement,Cancer Modifier,y,,
1635322,AJCC/UICC 8th clinical T1c3 Category,Measurement,Cancer Modifier,y,,
1634636,AJCC/UICC 8th clinical T1d Category,Measurement,Cancer Modifier,y,,
1633949,AJCC/UICC 8th clinical T1mi Category,Measurement,Cancer Modifier,y,,
1634651,AJCC/UICC 8th clinical T2 Category,Measurement,Cancer Modifier,y,,
1635635,AJCC/UICC 8th clinical T2a Category,Measurement,Cancer Modifier,y,,
1634840,AJCC/UICC 8th clinical T2a1 Category,Measurement,Cancer Modifier,y,,
1633896,AJCC/UICC 8th clinical T2a2 Category,Measurement,Cancer Modifier,y,,
1635451,AJCC/UICC 8th clinical T2b Category,Measurement,Cancer Modifier,y,,
1635287,AJCC/UICC 8th clinical T2c Category,Measurement,Cancer Modifier,y,,
1635071,AJCC/UICC 8th clinical T2d Category,Measurement,Cancer Modifier,y,,
1635070,AJCC/UICC 8th pathological T1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633374,AJCC/UICC 8th pathological T1a Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634683,AJCC/UICC 8th pathological T1a1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634089,AJCC/UICC 8th pathological T1a2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633282,AJCC/UICC 8th pathological T1b Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634045,AJCC/UICC 8th pathological T1b1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634711,AJCC/UICC 8th pathological T1b2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634059,AJCC/UICC 8th pathological T1b3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635810,AJCC/UICC 8th pathological T1c Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1635487,AJCC/UICC 8th pathological T1c1 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634933,AJCC/UICC 8th pathological T1c2 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1634846,AJCC/UICC 8th pathological T1c3 Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633448,AJCC/UICC 8th pathological T1d Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633506,AJCC/UICC 8th pathological T1mi Category,Measurement,Cancer Modifier,n,TRUE,FALSE
1633307,AJCC/UICC 8th pathological T2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1633453,AJCC/UICC 8th pathological T2a Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634786,AJCC/UICC 8th pathological T2a1 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634938,AJCC/UICC 8th pathological T2a2 Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634781,AJCC/UICC 8th pathological T2b Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634709,AJCC/UICC 8th pathological T2c Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1634409,AJCC/UICC 8th pathological T2d Category,Measurement,Cancer Modifier,n,FALSE,TRUE
1635870,AJCC/UICC 8th post therapy clinical T1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635466,AJCC/UICC 8th post therapy clinical T1a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634857,AJCC/UICC 8th post therapy clinical T1a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633582,AJCC/UICC 8th post therapy clinical T1a2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635158,AJCC/UICC 8th post therapy clinical T1b Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635224,AJCC/UICC 8th post therapy clinical T1b1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634385,AJCC/UICC 8th post therapy clinical T1b2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633610,AJCC/UICC 8th post therapy clinical T1b3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635163,AJCC/UICC 8th post therapy clinical T1c Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633378,AJCC/UICC 8th post therapy clinical T1c1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633969,AJCC/UICC 8th post therapy clinical T1c2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635150,AJCC/UICC 8th post therapy clinical T1c3 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1633487,AJCC/UICC 8th post therapy clinical T1d Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1635655,AJCC/UICC 8th post therapy clinical T1mi Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634518,AJCC/UICC 8th post therapy clinical T2 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634173,AJCC/UICC 8th post therapy clinical T2a Category,Measurement,Cancer Modifier,n,FALSE,FALSE
1634130,AJCC/UICC 8th post therapy clinical T2a1 Category,Measurement,Cancer Modifier,n,FALSE,FALSE
